acl 2.2.53-1
libwmf 0.2.12-1
libx11 1.6.9-3
libxau 1.0.9-1
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.5-1
libxcursor 1.2.0-1
libxdamage 1.1.5-1
libxdg-basedir 1.2.0-4
libxdmcp 1.1.3-1
libxext 1.3.4-1
libxfixes 5.0.3-2
libxfont2 2.0.4-1
libxft 2.3.3-1
libxi 1.7.10-1
libxinerama 1.1.4-1
libxkbcommon 0.9.1-1
libxkbcommon-x11 0.9.1-1
libxkbfile 1.1.0-1
libxml2 2.9.9-3
libxmu 1.1.3-1
libxpm 3.5.12-2
libxrandr 1.5.2-1
libxrender 0.9.10-2
libxshmfence 1.3-1
libxslt 1.1.33-1
libxss 1.2.3-1
libxt 1.2.0-1
libxtst 1.2.3-2
libxv 1.0.11-2
libxvmc 1.0.12-2
libxxf86dga 1.1.5-1
libxxf86vm 1.1.4-2
libyaml 0.2.2-1
licenses 20191011-1
linux 5.3.8.1-1
linux-api-headers 5.3.1-1
linux-firmware 20191022.2b016af-1
llvm-libs 9.0.0-3
lm_sensors 3.6.0-1
lsof 4.93.2-1
lua 5.3.5-2
lua-lgi 0.9.2-1
luajit 2.0.5-2
lvm2 2.02.186-2
lz4 1:1.9.2-1
lzo 2.10-2
m4 1.4.18-2
make 4.2.1-3
man-db 2.9.0-1
mdadm 4.1-1
media-player-info 24-1
mesa 19.2.3-2
metis 5.1.0.p6-1
minizip 1:1.2.11-3
mkinitcpio 27-2
mkinitcpio-busybox 1.30.1-1
mobile-broadband-provider-info 20190618-1
mpfr 4.0.2-1
mtdev 1.1.5-2
mypaint-brushes1 1.3.0-1
nano 4.5-1
ncurses 6.1-6
ndctl 67-1
neofetch-git 6.1.0.r70.ge235ae92-1
netctl 1.20-1
nettle 3.5.1-1
network-manager-applet 1.8.24-1
networkmanager 1.20.6-1
networkmanager-dmenu-git r90.81abf68-1
nm-connection-editor 1.8.24-1
node-gyp 6.0.0-1
nodejs 12.13.0-1
npm 6.12.1-1
npth 1.6-1
nspr 4.23-1
nss 3.47-1
openal 1.19.1-2
opencore-amr 0.1.5-2
openexr 2.4.0-4
openjpeg2 2.3.1-1
openoffice 4.1.7-1
openresolv 3.9.2-1
openssh 8.1p1-1
openssl 1.1.1.d-1
openssl-1.0 1.0.2.t-1
opus 1.3.1-1
orc 0.4.31-1
os-prober 1.77-1
p11-kit 0.23.18.1-1
pacman 5.2.1-1
pacman-mirrorlist 20191001-1
pam 1.3.1-1
pambase 20190105.1-1
pango 1:1.44.7-1
parted 3.3-1
partitionmanager 4.0.0-1
patch 2.7.6-7
pciutils 3.6.2-1
pcre 8.43-1
pcre2 10.33-1
perl 5.30.0-3
perl-encode-locale 1.05-5
perl-error 0.17028-1
perl-file-listing 6.04-6
perl-html-parser 3.72-8
perl-html-tagset 3.20-8
perl-http-cookies 6.05-1
perl-http-daemon 6.01-7
perl-http-date 6.02-6
perl-http-message 6.18-3
perl-http-negotiate 6.01-6
perl-io-html 1.001-5
perl-libwww 6.41-1
perl-lwp-mediatypes 6.02-6
perl-mailtools 2.21-2
perl-net-http 6.19-2
perl-timedate 2.30-6
perl-try-tiny 0.30-3
perl-uri 1.76-2
perl-www-robotrules 6.02-6
perl-xml-parser 2.44-9
pinentry 1.1.0-4
pixman 0.38.4-1
pkgconf 1.6.3-2
polkit 0.116-3
polkit-qt5 0.113.0-1
polybar-git 3.4.0.r37.g8d3dedc2-1
